AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.86          Angle of attack for zero Cn for linear Cn curve (deg)
7.41158        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8100        Cn at stall value for positive angle of attack for linear Cn curve
-0.8737        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0091         Minimum CD value
   -123.00    0.3953    1.1249
   -122.00    0.3834    1.1498
   -121.00    0.3713    1.1744
   -120.00    0.3589    1.1985
   -119.00    0.3462    1.2221
   -118.00    0.3333    1.2452
   -117.00    0.3201    1.2678
   -116.00    0.3068    1.2898
   -115.00    0.2933    1.3112
   -114.00    0.2797    1.3319
   -113.00    0.2659    1.3521
   -112.00    0.2520    1.3715
   -111.00    0.2380    1.3903
   -110.00    0.2233    1.4083
   -109.00    0.2091    1.4256
   -108.00    0.1949    1.4422
   -107.00    0.1806    1.4579
   -106.00    0.1662    1.4729
   -105.00    0.1519    1.4871
   -104.00    0.1375    1.5004
   -103.00    0.1231    1.5129
   -102.00    0.1087    1.5245
   -101.00    0.0943    1.5352
   -100.00    0.0800    1.5450
    -99.00    0.0656    1.5540
    -98.00    0.0513    1.5620
    -97.00    0.0371    1.5691
    -96.00    0.0228    1.5753
    -95.00    0.0087    1.5805
    -94.00   -0.0055    1.5848
    -93.00   -0.0195    1.5882
    -92.00   -0.0335    1.5906
    -91.00   -0.0475    1.5920
    -90.00   -0.0613    1.5925
    -89.00   -0.0751    1.5920
    -88.00   -0.0888    1.5906
    -87.00   -0.1024    1.5882
    -86.00   -0.1159    1.5848
    -85.00   -0.1293    1.5805
    -84.00   -0.1426    1.5753
    -83.00   -0.1558    1.5691
    -82.00   -0.1689    1.5620
    -81.00   -0.1818    1.5540
    -80.00   -0.1947    1.5450
    -79.00   -0.2074    1.5352
    -78.00   -0.2200    1.5244
    -77.00   -0.2324    1.5128
    -76.00   -0.2447    1.5003
    -75.00   -0.2568    1.4870
    -74.00   -0.2688    1.4729
    -73.00   -0.2806    1.4579
    -72.00   -0.2922    1.4421
    -71.00   -0.3036    1.4256
    -70.00   -0.3149    1.4083
    -69.00   -0.3259    1.3902
    -68.00   -0.3367    1.3714
    -67.00   -0.3473    1.3520
    -66.00   -0.3577    1.3318
    -65.00   -0.3678    1.3111
    -64.00   -0.3776    1.2897
    -63.00   -0.3872    1.2677
    -62.00   -0.3965    1.2451
    -61.00   -0.4055    1.2220
    -60.00   -0.4142    1.1984
    -59.00   -0.4226    1.1743
    -58.00   -0.4306    1.1497
    -57.00   -0.4383    1.1247
    -56.00   -0.4456    1.0993
    -55.00   -0.4525    1.0736
    -54.00   -0.4591    1.0475
    -53.00   -0.4652    1.0211
    -52.00   -0.4709    0.9944
    -51.00   -0.4762    0.9675
    -50.00   -0.4810    0.9404
    -49.00   -0.4854    0.9131
    -48.00   -0.4893    0.8856
    -47.00   -0.4927    0.8581
    -46.00   -0.4956    0.8305
    -45.00   -0.4980    0.8028
    -44.00   -0.4998    0.7751
    -43.00   -0.5011    0.7474
    -42.00   -0.5019    0.7198
    -41.00   -0.5020    0.6923
    -40.00   -0.5017    0.6649
    -39.00   -0.5007    0.6377
    -38.00   -0.4991    0.6106
    -37.00   -0.4970    0.5838
    -36.00   -0.4942    0.5572
    -35.00   -0.4909    0.5309
    -34.00   -0.4870    0.5050
    -33.00   -0.4825    0.4793
    -32.00   -0.4774    0.4540
    -31.00   -0.4717    0.4292
    -30.00   -0.4656    0.4048
    -29.00   -0.4590    0.3808
    -28.00   -0.4519    0.3573
    -27.00   -0.4445    0.3343
    -26.00   -0.4369    0.3118
    -25.00   -0.4292    0.2899
    -24.00   -0.4216    0.2685
    -23.00   -0.4144    0.2476
    -22.00   -0.4081    0.2273
    -21.00   -0.4033    0.2076
    -20.00   -0.4010    0.1883
    -19.00   -0.4027    0.1694
    -18.00   -0.4107    0.1508
    -17.00   -0.4286    0.1323
    -16.00   -0.4620    0.1137
    -15.00   -0.5184    0.0945
    -14.00   -0.6057    0.0747
    -13.00   -0.7229    0.0547
    -12.00   -0.8417    0.0367
    -11.00   -0.9040    0.0242
    -10.00   -0.9460    0.0158
     -9.50   -0.8835    0.0141
     -9.00   -0.8180    0.0133
     -8.50   -0.7459    0.0119
     -8.00   -0.6782    0.0114
     -7.50   -0.6091    0.0108
     -7.00   -0.5425    0.0105
     -6.50   -0.4770    0.0103
     -6.00   -0.4102    0.0099
     -5.50   -0.3441    0.0097
     -5.00   -0.2791    0.0096
     -4.50   -0.2146    0.0096
     -4.00   -0.1489    0.0094
     -3.50   -0.0833    0.0093
     -3.00   -0.0185    0.0092
     -2.50    0.0461    0.0092
     -2.00    0.1113    0.0091
     -1.50    0.1758    0.0091
     -1.00    0.2396    0.0091
     -0.50    0.3028    0.0093
      0.00    0.3669    0.0093
      0.50    0.4311    0.0093
      1.00    0.4946    0.0093
      1.50    0.5580    0.0094
      2.00    0.6212    0.0095
      2.50    0.6841    0.0095
      3.00    0.7463    0.0096
      3.50    0.8075    0.0100
      4.00    0.8699    0.0100
      4.50    0.9320    0.0101
      5.00    0.9938    0.0102
      5.50    1.0554    0.0103
      6.00    1.1156    0.0104
      6.50    1.1743    0.0107
      7.00    1.2353    0.0107
      7.50    1.2945    0.0109
      8.00    1.3501    0.0113
      8.50    1.4080    0.0115
      9.00    1.4600    0.0121
      9.50    1.5086    0.0128
     10.00    1.5485    0.0139
     10.50    1.5665    0.0158
     11.00    1.5604    0.0182
     11.50    1.5496    0.0224
     12.00    1.5393    0.0281
     12.50    1.5257    0.0345
     13.00    1.5068    0.0412
     13.50    1.4839    0.0485
     14.00    1.4723    0.0550
     14.50    1.4653    0.0611
     15.00    1.4514    0.0684
     15.50    1.4549    0.0738
     16.00    1.4442    0.0811
     16.50    1.4506    0.0863
     17.00    1.4410    0.0934
     17.50    1.4462    0.0987
     18.00    1.4504    0.1043
     18.50    1.4417    0.1118
     19.00    1.4504    0.1170
     19.50    1.4497    0.1236
     20.00    1.4513    0.1297
     21.00    0.9535    0.1911
     22.00    0.9351    0.2131
     23.00    0.9247    0.2354
     24.00    0.9204    0.2582
     25.00    0.9210    0.2814
     26.00    0.9253    0.3050
     27.00    0.9325    0.3290
     28.00    0.9418    0.3534
     29.00    0.9528    0.3783
     30.00    0.9649    0.4036
     31.00    0.9777    0.4292
     32.00    0.9910    0.4553
     33.00    1.0045    0.4818
     34.00    1.0180    0.5086
     35.00    1.0314    0.5357
     36.00    1.0444    0.5631
     37.00    1.0571    0.5908
     38.00    1.0691    0.6187
     39.00    1.0805    0.6469
     40.00    1.0912    0.6752
     41.00    1.1012    0.7037
     42.00    1.1102    0.7324
     43.00    1.1183    0.7611
     44.00    1.1255    0.7899
     45.00    1.1316    0.8187
     46.00    1.1367    0.8475
     47.00    1.1407    0.8762
     48.00    1.1436    0.9049
     49.00    1.1453    0.9335
     50.00    1.1458    0.9619
     51.00    1.1451    0.9902
     52.00    1.1432    1.0182
     53.00    1.1400    1.0460
     54.00    1.1356    1.0736
     55.00    1.1299    1.1008
     56.00    1.1229    1.1277
     57.00    1.1147    1.1542
     58.00    1.1051    1.1803
     59.00    1.0942    1.2060
     60.00    1.0821    1.2312
     61.00    1.0686    1.2558
     62.00    1.0539    1.2800
     63.00    1.0379    1.3036
     64.00    1.0205    1.3266
     65.00    1.0020    1.3490
     66.00    0.9821    1.3708
     67.00    0.9611    1.3919
     68.00    0.9388    1.4123
     69.00    0.9153    1.4319
     70.00    0.8907    1.4508
     71.00    0.8649    1.4690
     72.00    0.8379    1.4863
     73.00    0.8099    1.5029
     74.00    0.7808    1.5186
     75.00    0.7506    1.5335
     76.00    0.7195    1.5475
     77.00    0.6874    1.5606
     78.00    0.6543    1.5728
     79.00    0.6204    1.5840
     80.00    0.5856    1.5944
     81.00    0.5500    1.6038
     82.00    0.5137    1.6122
     83.00    0.4766    1.6197
     84.00    0.4389    1.6262
     85.00    0.4006    1.6317
     86.00    0.3617    1.6363
     87.00    0.3222    1.6398
     88.00    0.2823    1.6423
     89.00    0.2420    1.6438
     90.00    0.2014    1.6444
     91.00    0.1604    1.6439
     92.00    0.1193    1.6424
     93.00    0.0779    1.6399
     94.00    0.0364    1.6364
     95.00   -0.0052    1.6319
     96.00   -0.0468    1.6264
     97.00   -0.0883    1.6199
     98.00   -0.1297    1.6125
     99.00   -0.1709    1.6040
    100.00   -0.2120    1.5947
    101.00   -0.2527    1.5844
    102.00   -0.2930    1.5731
    103.00   -0.3330    1.5609
    104.00   -0.3725    1.5479
    105.00   -0.4114    1.5339
    106.00   -0.4498    1.5191
    107.00   -0.4876    1.5034
    108.00   -0.5246    1.4869
    109.00   -0.5609    1.4696
    110.00   -0.5963    1.4515
    111.00   -0.6310    1.4326
    112.00   -0.6647    1.4130
    113.00   -0.6974    1.3926
    114.00   -0.7291    1.3716
    115.00   -0.7598    1.3499
    116.00   -0.7893    1.3275
    117.00   -0.8177    1.3046
    118.00   -0.8449    1.2810
    119.00   -0.8709    1.2569
    120.00   -0.8956    1.2323
    121.00   -0.9220    1.2072
    122.00   -0.9441    1.1816
    123.00   -0.9648    1.1556
    124.00   -0.9842    1.1291
    125.00   -1.0021    1.1023
    126.00   -1.0186    1.0752
    127.00   -1.0336    1.0478
    128.00   -1.0472    1.0201
    129.00   -1.0592    0.9921
    130.00   -1.0697    0.9640
    131.00   -1.0787    0.9357
    132.00   -1.0862    0.9072
    133.00   -1.0921    0.8787
    134.00   -1.0965    0.8501
    135.00   -1.0994    0.8215
    136.00   -1.1007    0.7929
    137.00   -1.1005    0.7643
    138.00   -1.0987    0.7358
    139.00   -1.0955    0.7074
    140.00   -1.0908    0.6792
    141.00   -1.0846    0.6511
    142.00   -1.0769    0.6233
    143.00   -1.0678    0.5957
    144.00   -1.0573    0.5684
    145.00   -1.0455    0.5414
    146.00   -1.0323    0.5148
    147.00   -1.0178    0.4885
    148.00   -1.0020    0.4627
    149.00   -0.9850    0.4373
    150.00   -0.9668    0.4124
    151.00   -0.9474    0.3880
    152.00   -0.9270    0.3641
    153.00   -0.9055    0.3408
    154.00   -0.8830    0.3181
    155.00   -0.8596    0.2960
    156.00   -0.8353    0.2745
    157.00   -0.8102    0.2537
    158.00   -0.7843    0.2337
    159.00   -0.7577    0.2143
    160.00   -0.7305    0.1957
    161.00   -0.7028    0.1778
    162.00   -0.6745    0.1608
    163.00   -0.6458    0.1445
    164.00   -0.6168    0.1291
    165.00   -0.5876    0.1145
    166.00   -0.5581    0.1007
    167.00   -0.5286    0.0879
    168.00   -0.4990    0.0759
    169.00   -0.4695    0.0649
    170.00   -0.4401    0.0548
    171.00   -0.4107    0.0456
    172.00   -0.3815    0.0373
    173.00   -0.3522    0.0300
    174.00   -0.3225    0.0236
    175.00   -0.2921    0.0183
    176.00   -0.2601    0.0139
    177.00   -0.2252    0.0104
    178.00   -0.1854    0.0080
    179.00   -0.1382    0.0065
    180.00   -0.0802    0.0060
    180.00   -0.0802    0.0060
