AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "CD = 1.2      360 Polar" on Foil "Circular Foil Placeholder" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-180.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
1.19979        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
1.2000         Minimum CD value
   -119.00    0.0000    1.2000
   -118.00    0.0000    1.2000
   -117.00    0.0000    1.2000
   -116.00    0.0000    1.2000
   -115.00    0.0000    1.2000
   -114.00    0.0000    1.2000
   -113.00    0.0000    1.2000
   -112.00    0.0000    1.2000
   -111.00    0.0000    1.2000
   -110.00    0.0000    1.2000
   -109.00    0.0000    1.2000
   -108.00    0.0000    1.2000
   -107.00    0.0000    1.2000
   -106.00    0.0000    1.2000
   -105.00    0.0000    1.2000
   -104.00    0.0000    1.2000
   -103.00    0.0000    1.2000
   -102.00    0.0000    1.2000
   -101.00    0.0000    1.2000
   -100.00    0.0000    1.2000
    -99.00    0.0000    1.2000
    -98.00    0.0000    1.2000
    -97.00    0.0000    1.2000
    -96.00    0.0000    1.2000
    -95.00    0.0000    1.2000
    -94.00    0.0000    1.2000
    -93.00    0.0000    1.2000
    -92.00    0.0000    1.2000
    -91.00    0.0000    1.2000
    -90.00    0.0000    1.2000
    -89.00    0.0000    1.2000
    -88.00    0.0000    1.2000
    -87.00    0.0000    1.2000
    -86.00    0.0000    1.2000
    -85.00    0.0000    1.2000
    -84.00    0.0000    1.2000
    -83.00    0.0000    1.2000
    -82.00    0.0000    1.2000
    -81.00    0.0000    1.2000
    -80.00    0.0000    1.2000
    -79.00    0.0000    1.2000
    -78.00    0.0000    1.2000
    -77.00    0.0000    1.2000
    -76.00    0.0000    1.2000
    -75.00    0.0000    1.2000
    -74.00    0.0000    1.2000
    -73.00    0.0000    1.2000
    -72.00    0.0000    1.2000
    -71.00    0.0000    1.2000
    -70.00    0.0000    1.2000
    -69.00    0.0000    1.2000
    -68.00    0.0000    1.2000
    -67.00    0.0000    1.2000
    -66.00    0.0000    1.2000
    -65.00    0.0000    1.2000
    -64.00    0.0000    1.2000
    -63.00    0.0000    1.2000
    -62.00    0.0000    1.2000
    -61.00    0.0000    1.2000
    -60.00    0.0000    1.2000
    -59.00    0.0000    1.2000
    -58.00    0.0000    1.2000
    -57.00    0.0000    1.2000
    -56.00    0.0000    1.2000
    -55.00    0.0000    1.2000
    -54.00    0.0000    1.2000
    -53.00    0.0000    1.2000
    -52.00    0.0000    1.2000
    -51.00    0.0000    1.2000
    -50.00    0.0000    1.2000
    -49.00    0.0000    1.2000
    -48.00    0.0000    1.2000
    -47.00    0.0000    1.2000
    -46.00    0.0000    1.2000
    -45.00    0.0000    1.2000
    -44.00    0.0000    1.2000
    -43.00    0.0000    1.2000
    -42.00    0.0000    1.2000
    -41.00    0.0000    1.2000
    -40.00    0.0000    1.2000
    -39.00    0.0000    1.2000
    -38.00    0.0000    1.2000
    -37.00    0.0000    1.2000
    -36.00    0.0000    1.2000
    -35.00    0.0000    1.2000
    -34.00    0.0000    1.2000
    -33.00    0.0000    1.2000
    -32.00    0.0000    1.2000
    -31.00    0.0000    1.2000
    -30.00    0.0000    1.2000
    -29.00    0.0000    1.2000
    -28.00    0.0000    1.2000
    -27.00    0.0000    1.2000
    -26.00    0.0000    1.2000
    -25.00    0.0000    1.2000
    -24.00    0.0000    1.2000
    -23.00    0.0000    1.2000
    -22.00    0.0000    1.2000
    -21.00    0.0000    1.2000
    -20.00    0.0000    1.2000
    -19.00    0.0000    1.2000
    -18.00    0.0000    1.2000
    -17.00    0.0000    1.2000
    -16.00    0.0000    1.2000
    -15.00    0.0000    1.2000
    -14.00    0.0000    1.2000
    -13.00    0.0000    1.2000
    -12.00    0.0000    1.2000
    -11.00    0.0000    1.2000
    -10.00    0.0000    1.2000
     -9.00    0.0000    1.2000
     -8.00    0.0000    1.2000
     -7.00    0.0000    1.2000
     -6.00    0.0000    1.2000
     -5.00    0.0000    1.2000
     -4.00    0.0000    1.2000
     -3.00    0.0000    1.2000
     -2.00    0.0000    1.2000
     -1.00    0.0000    1.2000
      0.00    0.0000    1.2000
      1.00    0.0000    1.2000
      2.00    0.0000    1.2000
      3.00    0.0000    1.2000
      4.00    0.0000    1.2000
      5.00    0.0000    1.2000
      6.00    0.0000    1.2000
      7.00    0.0000    1.2000
      8.00    0.0000    1.2000
      9.00    0.0000    1.2000
     10.00    0.0000    1.2000
     11.00    0.0000    1.2000
     12.00    0.0000    1.2000
     13.00    0.0000    1.2000
     14.00    0.0000    1.2000
     15.00    0.0000    1.2000
     16.00    0.0000    1.2000
     17.00    0.0000    1.2000
     18.00    0.0000    1.2000
     19.00    0.0000    1.2000
     20.00    0.0000    1.2000
     21.00    0.0000    1.2000
     22.00    0.0000    1.2000
     23.00    0.0000    1.2000
     24.00    0.0000    1.2000
     25.00    0.0000    1.2000
     26.00    0.0000    1.2000
     27.00    0.0000    1.2000
     28.00    0.0000    1.2000
     29.00    0.0000    1.2000
     30.00    0.0000    1.2000
     31.00    0.0000    1.2000
     32.00    0.0000    1.2000
     33.00    0.0000    1.2000
     34.00    0.0000    1.2000
     35.00    0.0000    1.2000
     36.00    0.0000    1.2000
     37.00    0.0000    1.2000
     38.00    0.0000    1.2000
     39.00    0.0000    1.2000
     40.00    0.0000    1.2000
     41.00    0.0000    1.2000
     42.00    0.0000    1.2000
     43.00    0.0000    1.2000
     44.00    0.0000    1.2000
     45.00    0.0000    1.2000
     46.00    0.0000    1.2000
     47.00    0.0000    1.2000
     48.00    0.0000    1.2000
     49.00    0.0000    1.2000
     50.00    0.0000    1.2000
     51.00    0.0000    1.2000
     52.00    0.0000    1.2000
     53.00    0.0000    1.2000
     54.00    0.0000    1.2000
     55.00    0.0000    1.2000
     56.00    0.0000    1.2000
     57.00    0.0000    1.2000
     58.00    0.0000    1.2000
     59.00    0.0000    1.2000
     60.00    0.0000    1.2000
     61.00    0.0000    1.2000
     62.00    0.0000    1.2000
     63.00    0.0000    1.2000
     64.00    0.0000    1.2000
     65.00    0.0000    1.2000
     66.00    0.0000    1.2000
     67.00    0.0000    1.2000
     68.00    0.0000    1.2000
     69.00    0.0000    1.2000
     70.00    0.0000    1.2000
     71.00    0.0000    1.2000
     72.00    0.0000    1.2000
     73.00    0.0000    1.2000
     74.00    0.0000    1.2000
     75.00    0.0000    1.2000
     76.00    0.0000    1.2000
     77.00    0.0000    1.2000
     78.00    0.0000    1.2000
     79.00    0.0000    1.2000
     80.00    0.0000    1.2000
     81.00    0.0000    1.2000
     82.00    0.0000    1.2000
     83.00    0.0000    1.2000
     84.00    0.0000    1.2000
     85.00    0.0000    1.2000
     86.00    0.0000    1.2000
     87.00    0.0000    1.2000
     88.00    0.0000    1.2000
     89.00    0.0000    1.2000
     90.00    0.0000    1.2000
     91.00    0.0000    1.2000
     92.00    0.0000    1.2000
     93.00    0.0000    1.2000
     94.00    0.0000    1.2000
     95.00    0.0000    1.2000
     96.00    0.0000    1.2000
     97.00    0.0000    1.2000
     98.00    0.0000    1.2000
     99.00    0.0000    1.2000
    100.00    0.0000    1.2000
    101.00    0.0000    1.2000
    102.00    0.0000    1.2000
    103.00    0.0000    1.2000
    104.00    0.0000    1.2000
    105.00    0.0000    1.2000
    106.00    0.0000    1.2000
    107.00    0.0000    1.2000
    108.00    0.0000    1.2000
    109.00    0.0000    1.2000
    110.00    0.0000    1.2000
    111.00    0.0000    1.2000
    112.00    0.0000    1.2000
    113.00    0.0000    1.2000
    114.00    0.0000    1.2000
    115.00    0.0000    1.2000
    116.00    0.0000    1.2000
    117.00    0.0000    1.2000
    118.00    0.0000    1.2000
    119.00    0.0000    1.2000
    120.00    0.0000    1.2000
    121.00    0.0000    1.2000
    122.00    0.0000    1.2000
    123.00    0.0000    1.2000
    124.00    0.0000    1.2000
    125.00    0.0000    1.2000
    126.00    0.0000    1.2000
    127.00    0.0000    1.2000
    128.00    0.0000    1.2000
    129.00    0.0000    1.2000
    130.00    0.0000    1.2000
    131.00    0.0000    1.2000
    132.00    0.0000    1.2000
    133.00    0.0000    1.2000
    134.00    0.0000    1.2000
    135.00    0.0000    1.2000
    136.00    0.0000    1.2000
    137.00    0.0000    1.2000
    138.00    0.0000    1.2000
    139.00    0.0000    1.2000
    140.00    0.0000    1.2000
    141.00    0.0000    1.2000
    142.00    0.0000    1.2000
    143.00    0.0000    1.2000
    144.00    0.0000    1.2000
    145.00    0.0000    1.2000
    146.00    0.0000    1.2000
    147.00    0.0000    1.2000
    148.00    0.0000    1.2000
    149.00    0.0000    1.2000
    150.00    0.0000    1.2000
    151.00    0.0000    1.2000
    152.00    0.0000    1.2000
    153.00    0.0000    1.2000
    154.00    0.0000    1.2000
    155.00    0.0000    1.2000
    156.00    0.0000    1.2000
    157.00    0.0000    1.2000
    158.00    0.0000    1.2000
    159.00    0.0000    1.2000
    160.00    0.0000    1.2000
    161.00    0.0000    1.2000
    162.00    0.0000    1.2000
    163.00    0.0000    1.2000
    164.00    0.0000    1.2000
    165.00    0.0000    1.2000
    166.00    0.0000    1.2000
    167.00    0.0000    1.2000
    168.00    0.0000    1.2000
    169.00    0.0000    1.2000
    170.00    0.0000    1.2000
    171.00    0.0000    1.2000
    172.00    0.0000    1.2000
    173.00    0.0000    1.2000
    174.00    0.0000    1.2000
    175.00    0.0000    1.2000
    176.00    0.0000    1.2000
    177.00    0.0000    1.2000
    178.00    0.0000    1.2000
    179.00    0.0000    1.2000
    180.00    0.0000    1.2000
    180.00    0.0000    1.2000
